GeneID	GeneSymbol	389Input_S1	389Neg_S3	389Pos_S5	391Input_S7	391Neg_S9	391Pos_S10	392Input_S11	392Neg_S12	392Pos_S2	396Input_S4	396Neg_S6	396Pos_S8
170791	Rbm39	89.61598	85.23305	93.632256	79.07972	83.31445	78.70025	75.47821	75.08177	79.48275	81.8326	78.5908	89.459366
228829	Phf20	20.299904	18.904665	22.903248	17.584528	16.623837	19.310066	18.006748	16.69822	21.463404	16.860514	15.34575	19.69085
19018	Scand1	102.0853	109.765144	103.05618	80.75439	83.76199	92.887405	86.39315	78.374054	94.06916	85.302	92.3867	93.29578
347740	2900097C17Rik	558.26764	648.4176	204.852	558.793	641.351	221.69264	542.34393	709.1312	235.48476	566.26666	625.5688	202.46587
13821	Epb4.1l1	67.04914	64.13743	64.12094	70.56983	71.212875	71.01538	69.82758	70.60967	67.54211	68.88229	67.22276	65.534584
68295	Aar2	13.777579	12.743016	16.498734	14.67345	12.812547	14.82206	13.642637	13.533865	18.194525	14.248336	14.753242	15.921828
100504350	Gm14169	2.6999915	1.9904782	1.434729	3.6098208	3.1321564	2.051494	2.4504735	3.1682026	2.1746876	3.3098533	3.0731401	1.9287684
228836	Dlgap4	50.467518	47.62164	55.582535	52.15791	47.451134	57.027355	49.988926	45.747402	51.04133	48.90881	46.014023	54.305424
98932	Myl9	7.87228	10.085604	1.7574259	8.274718	10.609317	1.9013213	10.920784	14.805092	1.323037	8.735123	9.823212	1.5546018
228839	Tgif2	1.191974	1.3511019	0.71389896	1.7527916	1.8229733	0.8739534	1.5362327	1.5568489	0.88482785	1.3954803	1.3896623	0.8888726
74487	5430405H02Rik	2.1467235	2.52058	2.2279198	3.0988457	3.0640395	2.951017	2.462106	2.581562	2.1627865	2.2419515	3.1176558	2.3196871
67388	1110008F13Rik	57.045403	60.791748	56.359886	56.83832	62.26604	56.409878	55.806526	58.30002	59.958145	59.456326	64.257355	51.817703
29812	Ndrg3	220.09914	207.67102	283.27682	223.49817	202.86821	286.32123	226.77698	197.42148	296.4516	199.32901	194.74089	272.72873
320706	9830001H06Rik	3.3246272	3.0949545	2.6754258	3.8117666	3.826345	2.5137951	3.6710606	4.4891844	2.2459798	3.6652787	3.7912083	2.5432005
56045	Samhd1	3.928436	4.5578656	3.018688	3.872577	4.455052	3.750803	4.5724483	4.341452	3.0906234	4.501865	4.6754503	3.0843632
20014	Rpn2	46.00488	43.410053	38.295544	44.09641	46.5424	39.619274	43.810253	44.50833	39.311764	45.265804	46.256496	42.749866
69161	Manbal	51.39518	55.924393	48.15438	49.5906	51.011818	47.0596	50.215168	51.663586	45.804356	50.217983	51.577374	49.41234
20779	Src	39.526943	37.250404	41.469517	36.757225	35.34225	42.60877	37.2347	34.894302	39.6296	36.431797	36.057247	37.703506
53619	Blcap	66.99693	73.711296	63.924995	76.549965	71.469604	78.3054	68.11409	69.2206	67.83956	82.88761	85.8031	87.39311
18111	Nnat	290.02368	326.87067	197.16286	325.82455	366.2801	242.68523	251.79019	307.25055	151.27205	390.0052	419.61578	328.1398
66642	Ctnnbl1	17.147778	17.101099	19.20389	15.140549	14.061016	16.694082	16.286	15.43695	17.866604	13.37274	14.414121	15.859092
277432	Vstm2l	77.258026	74.70082	67.700035	74.65785	78.42766	81.9066	72.94079	65.34442	72.765205	82.94303	79.12813	73.02066
75425	Tti1	4.061009	3.401823	3.7339242	4.716159	4.693565	4.4952517	3.9424968	4.502882	4.221145	4.168432	4.797405	3.949868
70470	Rprd1b	7.9537454	6.921878	7.359503	8.305295	7.6370735	8.145018	7.115732	7.081291	7.2485824	8.168301	7.976582	8.45627
21817	Tgm2	3.2345407	3.4020848	1.565966	2.5624878	3.3031168	0.9820342	2.9962027	4.717874	0.85862	2.4384496	3.095195	1.3283107
68108	9430008C03Rik	2.066282	2.396715	1.6080779	2.3305674	3.022494	1.3239197	2.089258	2.4671488	1.8402332	2.5888	2.0416665	1.3857008
319317	Snhg11	85.765686	91.231804	16.03384	173.27829	230.35002	40.181675	87.5405	132.72379	17.612774	170.06837	190.95204	28.648624
228850	Ralgapb	11.710492	11.711772	13.0040865	13.973975	13.572621	14.544048	13.632615	13.09705	13.366012	13.390987	12.584419	13.71192
100045469	Gm14204	1.0748037	1.1084951	0.4185489	1.0727378	1.4309887	0.38579017	0.8162806	1.2968541	0.35742125	1.3137134	1.0402155	0.58240765
22348	Slc32a1	27.766396	29.252373	19.921804	35.354843	39.771393	19.449646	31.047863	34.041447	15.209052	35.323116	33.160755	27.48665
109275	Actr5	0.97235394	2.9970827	1.8971586	2.2151122	2.3549418	1.8307201	2.005378	2.0485609	1.3853543	2.1765485	2.781054	1.8592926
228852	Ppp1r16b	27.6799	27.96085	21.78883	23.957478	24.572775	18.322695	25.012985	28.953484	18.638271	23.30047	24.961699	17.189886
71878	Fam83d	1.0567825	1.6739763	1.0105976	0.83833605	0.7899836	0.4861098	1.1357136	1.0693623	0.7545393	1.0596678	1.0057493	0.5214795
71715	Dhx35	3.8875518	3.7350514	2.6817975	4.0703936	5.1774144	3.5558064	4.0349784	4.3550463	2.7437963	3.7811024	4.182034	3.455837
16658	Mafb	6.751763	7.062068	3.189938	6.320271	7.915964	3.4238117	6.785379	7.8759975	2.1898816	6.170601	6.619887	3.8749907
21969	Top1	50.365623	50.009544	59.77881	41.489166	38.192158	43.23642	44.128017	39.857204	42.272694	39.646255	36.83476	46.575348
18803	Plcg1	5.7445707	5.652141	7.2583528	7.064493	7.4119086	8.077733	7.0508113	6.843413	6.5039744	6.7935324	7.188992	6.3364577
320799	Zhx3	2.7372751	2.749665	2.9226668	2.5631459	3.0735946	3.1275644	2.904626	3.02312	3.3105936	3.1437263	3.0113683	2.450707
71389	Chd6	5.1009455	4.3975964	4.9183574	6.6981077	6.6344028	6.0538335	5.9242644	6.3769956	5.1584578	7.1749654	6.4757633	5.4869447
19281	Ptprt	1.1634043	1.1177894	1.1655489	2.1924634	2.1566517	1.7309595	1.8359842	2.1024559	1.105283	2.0013876	2.1469338	1.5242591
77288	9430021M05Rik	2.4694054	1.8546028	1.3742372	4.119188	4.6764736	3.6750839	2.9834216	3.1901965	2.0097423	4.623734	4.411803	3.973102
67996	Srsf6	28.50424	31.857708	29.833715	30.344412	33.852234	26.449518	24.997	29.797045	23.353	30.073246	31.707863	22.937386
245866	Ift52	11.937393	9.555436	11.185079	12.350956	14.12926	10.842338	13.276827	10.547887	12.007424	9.9860935	12.91375	13.431667
269389	Tox2	7.5089126	4.876125	4.9896655	10.3920765	9.092411	7.446791	6.1617436	7.4134398	5.5513315	8.214366	8.405085	8.306738
66680	3230401D17Rik	12.488779	12.499924	10.722774	13.332917	15.240786	12.773395	14.027701	16.10816	13.555337	14.633665	14.278386	14.690117
228858	Gdap1l1	29.689756	29.548235	35.887413	32.834225	30.331665	36.70945	31.00977	28.339645	37.011223	34.11135	31.640297	38.049034
228859	Fitm2	4.8348756	5.30371	5.3662705	4.894592	4.7934527	5.8553658	5.300763	4.2518764	4.443513	5.4427924	6.0226855	5.125981
76080	Ttpal	12.443025	13.790682	14.312916	16.839186	15.148269	17.659645	15.572836	14.177869	18.297884	16.29207	16.252895	17.813795
26943	Serinc3	87.057045	93.51374	69.77871	89.19411	95.88468	69.9336	94.10135	103.22689	72.496925	89.15473	93.30434	72.93523
18769	Pkig	46.140114	59.432438	37.529827	50.366116	54.792496	39.89931	55.484177	59.534767	48.991817	47.61454	52.188625	38.771
241770	Rims4	5.7142878	4.0379796	5.8924904	5.8617043	6.025511	7.2924633	7.7045455	6.407162	5.793457	5.5573344	5.4717326	7.779637
54401	Ywhab	346.2089	326.02374	410.5563	330.75232	303.27023	391.699	335.70624	297.46848	401.66528	339.78726	319.61395	408.42416
